employee_id,prefix,first_name,last_name,gender,work_phone,base_location,work_country,country_code,email,department,role,grade,join_date,
('FG00576','Ms','Georgena','Whitnell','F',447388495760,'Swindon','United Kingdom','GB','Georgena.Whitnell@fairgrocery.com','Accounting & Finance','Controller ','G4','2019-2-24'), 
('FG00583','Mrs','Patrica','Baiden','F',444726007876,'Belfast','United Kingdom','GB','Patrica.Baiden@fairgrocery.com','Accounting & Finance','Accounting Manager','G4','2019-3-3'), 
('FG00584','Ms','Mersey','Beardsell','F',444511761926,'Church End','United Kingdom','GB','Mersey.Beardsell@fairgrocery.com','Accounting & Finance','Senior Accountant','G3','2019-3-4'), 
('FG00669','Mr','Kain','Nerney','M',618089468072,'Adelaide Mail Centre','Australia','AU','Kain.Nerney@fairgrocery.com','Accounting & Finance','Finance Director','G5','2018-3-29'), 
('FG00670','Mr','Benoit','Grinyov','M',618398708696,'Sydney','Australia','AU','Benoit.Grinyov@fairgrocery.com','Accounting & Finance','Controller ','G4','2018-3-30'), 
('FG00671','Mr','Palmer','Checkley','M',619555238518,'Adelaide Mail Centre','Australia','AU','Palmer.Checkley@fairgrocery.com','Accounting & Finance','Accountant','G3','2018-3-31'), 
('FG00541','Mr','Conney','Swanborough','M',447322225058,'Glasgow','United Kingdom','GB','Conney.Swanborough@fairgrocery.com','Branch Operations','Branch Manager','G4','2018-4-10'), 
('FG00542','Mr','Witty','Bourgour','M',448816712267,'Wootton','United Kingdom','GB','Witty.Bourgour@fairgrocery.com','Branch Operations','Branch Manager','G4','2018-5-10'), 
('FG00543','Mr','Bayard','Flippelli','M',442975876308,'Liverpool','United Kingdom','GB','Bayard.Flippelli@fairgrocery.com','Branch Operations','Branch Manager','G4','2018-6-10'), 
('FG00544','Mr','Morgan','Deetlof','M',443818437175,'Kirkton','United Kingdom','GB','Morgan.Deetlof@fairgrocery.com','Branch Operations','Branch Assistant','G2','2018-7-10'), 
('FG00545','Mr','Lionel','Goslin','M',446262399649,'London','United Kingdom','GB','Lionel.Goslin@fairgrocery.com','Branch Operations','Branch Manager','G4','2018-8-10'), 
('FG00546','Ms','Morissa','Coleshill','F',449999145095,'Buckland','United Kingdom','GB','Morissa.Coleshill@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-4'), 
('FG00547','Mr','Ludovico','Molyneaux','M',448302421418,'Brampton','United Kingdom','GB','Ludovico.Molyneaux@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-5'), 
('FG00548','Mr','Ham','Asgodby','M',446778296793,'Milton','United Kingdom','GB','Ham.Asgodby@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-6'), 
('FG00549','Mrs','Almeta','Willatt','F',444776871986,'Newton','United Kingdom','GB','Almeta.Willatt@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-7'), 
('FG00550','Ms','Annabel','Bunner','F',442525176193,'Burnside','United Kingdom','GB','Annabel.Bunner@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-8'), 
('FG00551','Mr','Martie','Woodyer','M',441821084809,'Buckland','United Kingdom','GB','Martie.Woodyer@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-9'), 
('FG00552','Mr','Alva','O'Suaird','M',446901352975,'Newbiggin','United Kingdom','GB','Alva.O'Suaird@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-10'), 
('FG00553','Mrs','Kelila','Hennington','F',444685498744,'Whitchurch','United Kingdom','GB','Kelila.Hennington@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-11'), 
('FG00554','Mr','Conn','Groome','M',442523568765,'Bradford','United Kingdom','GB','Conn.Groome@fairgrocery.com','Branch Operations','Branch Assistant','G2','2016-2-12'), 
('FG00555','Mr','Hazlett','Librey','M',446872248018,'Pentre','United Kingdom','GB','Hazlett.Librey@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-3'), 
('FG00556','Ms','Umeko','Kensall','F',441992501944,'Eaton','United Kingdom','GB','Umeko.Kensall@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-4'), 
('FG00557','Mrs','Roze','Siburn','F',444114857528,'Hatton','United Kingdom','GB','Roze.Siburn@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-5'), 
('FG00558','Ms','Darcee','McEntee','F',448491527229,'Merton','United Kingdom','GB','Darcee.McEntee@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-6'), 
('FG00559','Mr','Corey','Kollatsch','M',443981020136,'Newtown','United Kingdom','GB','Corey.Kollatsch@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-7'), 
('FG00560','Mr','Alejandro','Wyndham','M',447375164867,'Eaton','United Kingdom','GB','Alejandro.Wyndham@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-8'), 
('FG00561','Mrs','Shirline','Korting','F',443483224888,'Manchester','United Kingdom','GB','Shirline.Korting@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-9'), 
('FG00562','Ms','Nedi','Kulis','F',448523334759,'London','United Kingdom','GB','Nedi.Kulis@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-10'), 
('FG00563','Mrs','Marisa','Harlowe','F',441463430478,'Normanton','United Kingdom','GB','Marisa.Harlowe@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-11'), 
('FG00564','Ms','Franciska','Harkins','F',449411864449,'East End','United Kingdom','GB','Franciska.Harkins@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-12'), 
('FG00565','Mr','Tymon','Masi','M',447262445623,'Norton','United Kingdom','GB','Tymon.Masi@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-13'), 
('FG00566','Mrs','Yovonnda','Dearsley','F',445504290555,'Seaton','United Kingdom','GB','Yovonnda.Dearsley@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-14'), 
('FG00567','Ms','Rubie','Westwood','F',443748791614,'Denton','United Kingdom','GB','Rubie.Westwood@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-15'), 
('FG00568','Mrs','Gwenette','Weerdenburg','F',448002535710,'Whitchurch','United Kingdom','GB','Gwenette.Weerdenburg@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-16'), 
('FG00569','Mr','Sholom','Farrar','M',446226988578,'Wirral','United Kingdom','GB','Sholom.Farrar@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-17'), 
('FG00570','Ms','Maible','Burkart','F',442996198761,'Sheffield','United Kingdom','GB','Maible.Burkart@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-18'), 
('FG00571','Mrs','Ruthi','Lisciandri','F',446831099225,'Horton','United Kingdom','GB','Ruthi.Lisciandri@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-19'), 
('FG00572','Mr','Alessandro','Habbal','M',448038682073,'Newton','United Kingdom','GB','Alessandro.Habbal@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-20'), 
('FG00573','Ms','Eve','Littleproud','F',444963793216,'Kirkton','United Kingdom','GB','Eve.Littleproud@fairgrocery.com','Branch Operations','Branch Assistant','G1','2020-2-21'), 
('FG00628','Mr','Ramsay','Goering','M',613168266752,'Sydney','Australia','AU','Ramsay.Goering@fairgrocery.com','Branch Operations','Branch Manager','G4','2013-5-20'), 
('FG00629','Ms','Maria','Kareman','F',619119491342,'Sydney','Australia','AU','Maria.Kareman@fairgrocery.com','Branch Operations','Branch Assistant','G2','2013-5-21'), 
('FG00630','Mr','Hillier','Lebbern','M',615112809536,'Eastern Suburbs Mc','Australia','AU','Hillier.Lebbern@fairgrocery.com','Branch Operations','Branch Assistant','G2','2013-5-22'), 
('FG00631','Mrs','Sharl','Schubart','F',615513329750,'Adelaide Mail Centre','Australia','AU','Sharl.Schubart@fairgrocery.com','Branch Operations','Branch Assistant','G2','2013-5-23'), 
('FG00632','Ms','Mariette','Gianullo','F',617306780772,'Eastern Suburbs Mc','Australia','AU','Mariette.Gianullo@fairgrocery.com','Branch Operations','Branch Assistant','G2','2013-5-24'), 
('FG00633','Mr','Gustav','Gruby','M',617739441853,'Brisbane','Australia','AU','Gustav.Gruby@fairgrocery.com','Branch Operations','Branch Assistant','G2','2013-5-25'), 
('FG00634','Mr','Lonnie','Hrihorovich','M',617961514082,'Northern Suburbs Mc','Australia','AU','Lonnie.Hrihorovich@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-8'), 
('FG00635','Mr','Chaddy','Dench','M',612621705550,'Australia Square','Australia','AU','Chaddy.Dench@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-9'), 
('FG00636','Mrs','Fawnia','Mham','F',616933192275,'Perth','Australia','AU','Fawnia.Mham@fairgrocery.com','Branch Operations','Branch Manager','G4','2017-7-10'), 
('FG00637','Ms','Carmine','Ewbank','F',617263758390,'Perth','Australia','AU','Carmine.Ewbank@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-11'), 
('FG00638','Mrs','Vinnie','Dibling','F',618043576908,'Sydney','Australia','AU','Vinnie.Dibling@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-12'), 
('FG00639','Mr','Arlin','Inwood','M',614129512984,'Sydney','Australia','AU','Arlin.Inwood@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-13'), 
('FG00640','Ms','Elvira','Faro','F',613461376950,'Sydney','Australia','AU','Elvira.Faro@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-14'), 
('FG00641','Mr','Xenos','Tranfield','M',611499276650,'Perth','Australia','AU','Xenos.Tranfield@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-15'), 
('FG00642','Mr','Erastus','Pinchen','M',611271121934,'Sydney','Australia','AU','Erastus.Pinchen@fairgrocery.com','Branch Operations','Branch Assistant','G2','2017-7-16'), 
('FG00643','Mr','Chrissy','Champagne','M',618492365104,'Perth','Australia','AU','Chrissy.Champagne@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-17'), 
('FG00644','Mrs','Briana','Storkes','F',618689388018,'Sydney','Australia','AU','Briana.Storkes@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-18'), 
('FG00645','Mr','Free','Bichener','M',615775386791,'Hobart','Australia','AU','Free.Bichener@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-19'), 
('FG00646','Ms','Legra','Thirtle','F',615899056959,'Strawberry Hills','Australia','AU','Legra.Thirtle@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-20'), 
('FG00647','Mr','Reidar','Campany','M',617125010368,'Sydney','Australia','AU','Reidar.Campany@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-21'), 
('FG00648','Mrs','Carrie','Hardway','F',612834802693,'Sydney South','Australia','AU','Carrie.Hardway@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-22'), 
('FG00649','Ms','Yovonnda','Uc','F',613832761507,'Eastern Suburbs Mc','Australia','AU','Yovonnda.Uc@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-23'), 
('FG00650','Mrs','Lotte','Dows','F',618258872652,'Perth','Australia','AU','Lotte.Dows@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-7-24'), 
('FG00651','Mr','Arne','Leser','M',617133217841,'Sydney','Australia','AU','Arne.Leser@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-12'), 
('FG00652','Mr','Trumaine','Roony','M',619192424983,'Hobart','Australia','AU','Trumaine.Roony@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-13'), 
('FG00653','Mr','Hillel','Flannery','M',611207959753,'Adelaide','Australia','AU','Hillel.Flannery@fairgrocery.com','Branch Operations','Branch Manager','G4','2017-3-14'), 
('FG00654','Ms','Darline','Girkins','F',617557823942,'Launceston','Australia','AU','Darline.Girkins@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-15'), 
('FG00655','Mrs','Thekla','Dan','F',619206306902,'Sydney','Australia','AU','Thekla.Dan@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-16'), 
('FG00656','Mr','Xever','Haquard','M',616508716619,'Adelaide Mail Centre','Australia','AU','Xever.Haquard@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-17'), 
('FG00657','Ms','Joice','Balducci','F',611328769498,'Sydney','Australia','AU','Joice.Balducci@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-18'), 
('FG00658','Mr','Jaimie','Ritchard','M',613875765146,'Eastern Suburbs Mc','Australia','AU','Jaimie.Ritchard@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-19'), 
('FG00659','Mr','Bradly','Greener','M',615831642776,'Sydney','Australia','AU','Bradly.Greener@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-20'), 
('FG00660','Mr','Matthias','Blyde','M',617891598230,'Sydney','Australia','AU','Matthias.Blyde@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-21'), 
('FG00661','Mrs','Carolin','Shepherd','F',615108424658,'Eastern Suburbs Mc','Australia','AU','Carolin.Shepherd@fairgrocery.com','Branch Operations','Branch Assistant','G1','2017-3-22'), 
('FG00662','Mr','Gardner','Mullally','M',619437757359,'Sydney','Australia','AU','Gardner.Mullally@fairgrocery.com','Branch Operations','Branch Assistant','G1','2018-3-22'), 
('FG00663','Mr','Scotti','Risbridge','M',612065340248,'Adelaide Mail Centre','Australia','AU','Scotti.Risbridge@fairgrocery.com','Branch Operations','Branch Assistant','G1','2018-3-23'), 
('FG00664','Ms','Rafa','Janssen','F',611272762085,'Sydney','Australia','AU','Rafa.Janssen@fairgrocery.com','Branch Operations','Branch Assistant','G1','2018-3-24'), 
('FG00665','Mr','Stefano','Commin','M',617327598688,'Australia Square','Australia','AU','Stefano.Commin@fairgrocery.com','Branch Operations','Branch Assistant','G1','2018-3-25'), 
('FG00666','Mrs','Shari','Edney','F',615399749965,'Sydney','Australia','AU','Shari.Edney@fairgrocery.com','Branch Operations','Branch Assistant','G1','2018-3-26'), 
('FG00667','Mr','Moses','Grise','M',619681468819,'Perth','Australia','AU','Moses.Grise@fairgrocery.com','Branch Operations','Branch Assistant','G1','2018-3-27'), 
('FG00668','Mr','Worthy','Dilliston','M',611284618098,'Melbourne','Australia','AU','Worthy.Dilliston@fairgrocery.com','Branch Operations','Branch Manager','G4','2018-3-28'), 
('FG00580','Mr','Jeffrey','Filan','M',441056264422,'Normanton','United Kingdom','GB','Jeffrey.Filan@fairgrocery.com','Business Development','Business Development Analyst','G2','2019-2-28'), 
('FG00581','Ms','Ginny','Vasyutichev','F',448269380960,'Newton','United Kingdom','GB','Ginny.Vasyutichev@fairgrocery.com','Business Development','Business Development Associate ','G3','2019-3-1'), 
('FG00683','Mr','Sly','Chilles','M',611934647356,'Sydney','Australia','AU','Sly.Chilles@fairgrocery.com','Business Development','Director of Business Development','G5','2018-4-12'), 
('FG00574','Mrs','Gizela','Spavon','F',442026249343,'Halton','United Kingdom','GB','Gizela.Spavon@fairgrocery.com','Human Resources','HR Coordinator','G1','2019-2-22'), 
('FG00579','Mr','Terri','Beccero','M',442816925474,'Manchester','United Kingdom','GB','Terri.Beccero@fairgrocery.com','Human Resources','Recruiter','G2','2019-2-27'), 
('FG00672','Mr','Horten','Grimbleby','M',611767557505,'Launceston','Australia','AU','Horten.Grimbleby@fairgrocery.com','Human Resources','HR Director','G5','2019-4-1'), 
('FG00673','Mr','Quintin','Cowderoy','M',613525836004,'Launceston','Australia','AU','Quintin.Cowderoy@fairgrocery.com','Human Resources','HR Manager (Compensation & Benefits)','G4','2018-4-2'), 
('FG00674','Mr','Tuck','Snaith','M',619969694970,'Adelaide Mail Centre','Australia','AU','Tuck.Snaith@fairgrocery.com','Human Resources','HR Manager (Employee Relations)','G4','2018-4-3'), 
('FG00675','Ms','Thomasine','Halsted','F',613346888148,'Sydney','Australia','AU','Thomasine.Halsted@fairgrocery.com','Human Resources','HR Manager (Recruitment)','G4','2018-4-4'), 
('FG00676','Mrs','Letisha','Cottill','F',611301728981,'Adelaide Mail Centre','Australia','AU','Letisha.Cottill@fairgrocery.com','Human Resources','HR Manager (Training)','G4','2018-4-5'), 
('FG00677','Mr','Ganny','Speake','M',611879287544,'Strawberry Hills','Australia','AU','Ganny.Speake@fairgrocery.com','Human Resources','Chief Diversity Officer','G4','2014-4-6'), 
('FG00678','Mr','Vance','Haggerston','M',612195475142,'Sydney','Australia','AU','Vance.Haggerston@fairgrocery.com','Human Resources','Recruiter','G3','2018-4-7'), 
('FG00679','Mr','Osgood','Curd','M',617281450238,'Perth','Australia','AU','Osgood.Curd@fairgrocery.com','Human Resources','HR Coordinator','G2','2018-4-8'), 
('FG00582','Mr','Duane','Gillis','M',441489520536,'Wootton','United Kingdom','GB','Duane.Gillis@fairgrocery.com','Legal','Legal Counsel','G4','2019-3-2'), 
('FG00682','Ms','Dru','Sanders','F',617443244321,'Eastern Suburbs Mc','Australia','AU','Dru.Sanders@fairgrocery.com','Legal','Legal Counsel','G4','2018-4-11'), 
('FG00575','Mr','Dion','Thewless','M',447584216623,'Glasgow','United Kingdom','GB','Dion.Thewless@fairgrocery.com','Marketing','Marketing Director','G5','2019-2-23'), 
('FG00577','Mrs','Aggie','Guinn','F',442358631144,'West End','United Kingdom','GB','Aggie.Guinn@fairgrocery.com','Marketing','Content Analyst','G2','2019-2-25'), 
('FG00578','Mr','Bastien','Keeley','M',442298999362,'Aberdeen','United Kingdom','GB','Bastien.Keeley@fairgrocery.com','Marketing','SEO Specialist','G2','2019-2-26'), 
('FG00680','Mr','Irwin','Smythin','M',617147042829,'Sydney','Australia','AU','Irwin.Smythin@fairgrocery.com','Marketing','Marketing Analyst','G3','2015-4-9'), 
('FG00681','Mr','Teddie','Ruzic','M',613556725715,'Launceston','Australia','AU','Teddie.Ruzic@fairgrocery.com','Marketing','Marketing Associate','G2','2018-4-10'), 
('FG00003','Mr','Lanette','Dougherty','F',441051390279,'Weston','United Kingdom','GB','Lanette.Dougherty@fairgrocery.com','Warehouse & Delivery','Delivery Assistant','G2','2016-1-10'), 
